Agency,Incident Number,Arrest Date,Arrest Location,Arrest Offense by UCR Code,Arrest Type,Age,Sex,Race,Ethnicity
MSP - DFS,2019-0H2-000018,20190101,DEDHAM,90Z,W,25,M,B,U
MSP - DFS,2019-0A1-000026,20190101,METHUEN,90Z,M,26,M,H,DR
MSP - DFS,2019-0D4-000001,20190101,TAUNTON,90D,M,28,M,O,CA
MSP - DFS,2019-0D4-000001,20190101,TAUNTON,MV,M,28,M,O,CA
MSP - DFS,2019-0D4-000001,20190101,TAUNTON,MV,M,28,M,O,CA
MSP - DFS,2019-0B3-000003,20190101,SPRINGFIELD,90D,M,28,M,H,MM
MSP - DFS,2019-0B3-000003,20190101,SPRINGFIELD,MV,M,28,M,H,MM
MSP - DFS,2019-0B3-000003,20190101,SPRINGFIELD,MV,M,28,M,H,MM
MSP - DFS,2019-0B3-000003,20190101,SPRINGFIELD,MV,M,28,M,H,MM
MSP - DFS,2019-0H3-000022,20190101,ATTLEBORO,MV,M,49,M,H,DR
MSP - DFS,2019-0H3-000022,20190101,ATTLEBORO,MV,M,49,M,H,DR
MSP - DFS,2019-0B3-000034,20190102,SPRINGFIELD,90,M,18,M,H,PR
MSP - DFS,2019-0B3-000034,20190102,SPRINGFIELD,13A-13C,M,18,M,H,PR
MSP - DFS,2019-0B3-000034,20190102,SPRINGFIELD,90Z,F,18,M,H,PR
MSP - DFS,2019-0F1-000213,20190102,BOSTON,250,F,23,M,H,DR
MSP - DFS,2019-0B3-000025,20190102,SPRINGFIELD,90Z,W,31,F,H,PR
MSP - DFS,2019-0CX-000042,20190102,CHARLTON,90D,M,34,M,W,BRA
MSP - DFS,2019-0CX-000042,20190102,CHARLTON,MV,M,34,M,W,BRA
MSP - DFS,2019-0CX-000042,20190102,CHARLTON,MV,M,34,M,W,BRA
MSP - DFS,2019-0H7-000022,20190102,BROCKTON,90Z,W,50,M,H,PR
MSP - DFS,2019-0C2-000039,20190102,WORCESTER,26A,M,53,M,W,MM
MSP - DFS,2019-0C2-000039,20190102,WORCESTER,"510,13C",F,53,M,W,MM
MSP - DFS,2019-0C2-000039,20190102,WORCESTER,90Z,W,53,M,W,MM
MSP - DFS,2019-0C2-000039,20190102,WORCESTER,MV,M,53,M,W,MM
MSP - DFS,2019-0C2-000039,20190102,WORCESTER,MV,M,53,M,W,MM
MSP - DFS,2019-0C2-000039,20190102,WORCESTER,MV,M,53,M,W,MM
MSP - DFS,2019-0C2-000039,20190102,WORCESTER,MV,M,53,M,W,MM
MSP - DFS,2019-0A1-000130,20190103,LAWRENCE,90Z,W,24,U,H,DR
MSP - DFS,2019-0C2-000068,20190103,BELLINGHAM,90Z,W,24,M,H,PR
MSP - DFS,2019-0A5-000077,20190103,LYNN,35A,F,34,M,H,PR
MSP - DFS,2019-0A5-000077,20190103,LYNN,MV,M,34,M,H,PR
MSP - DFS,2019-0A5-000077,20190103,LYNN,MV,M,34,M,H,PR
MSP - DFS,2019-0A5-000077,20190103,LYNN,35A,F,38,M,W,IRE
MSP - DFS,2019-0A5-000077,20190103,LYNN,MV,M,38,M,W,IRE
MSP - DFS,2019-0A5-000077,20190103,LYNN,35A,F,58,F,W,IRE
MSP - DFS,2019-0A5-000077,20190103,LYNN,90Z,W,58,F,W,IRE
MSP - DFS,2019-0A5-000077,20190103,LYNN,MV,M,58,F,W,IRE
MSP - DFS,2019-0H8-000026,20190103,BOSTON,90Z,W,60,U,H,BRA
MSP - DFS,2019-0D3-000108,20190104,NEW BEDFORD,90Z,W,24,M,H,PR
MSP - DFS,2019-0D3-000108,20190104,NEW BEDFORD,90Z,W,24,M,H,PR
MSP - DFS,2019-0C6-000109,20190104,WORCESTER,90Z,W,27,F,H,DR
MSP - DFS,2019-0C6-000108,20190104,WORCESTER,90Z,,27,M,H,PR
MSP - DFS,2019-0A1-000166,20190104,LAWRENCE,90Z,W,34,M,H,DR
MSP - DFS,2019-0D5-000009,20190104,OAK BLUFFS,13A or 13B,M,41,M,B,JM
MSP - DFS,2019-0D5-000009,20190104,OAK BLUFFS,13A-13C,M,41,M,B,JM
MSP - DFS,2019-0D5-000009,20190104,OAK BLUFFS,35A,F,41,M,B,JM
MSP - DFS,2019-0D5-000009,20190104,OAK BLUFFS,MV,M,41,M,B,JM
MSP - DFS,2019-0D5-000009,20190104,OAK BLUFFS,MV,M,41,M,B,JM
MSP - DFS,2019-0A6-000090,20190104,LYNN,90Z,W,42,M,H,DR
MSP - DFS,2019-0C4-000073,20190104,FITCHBURG,90Z,W,49,M,H,PR
MSP - DFS,2019-0C4-000073,20190104,FITCHBURG,90Z,W,49,M,H,PR
MSP - DFS,2019-0D2-000069,20190104,BARNSTABLE,35A,F,52,F,W,IRE
MSP - DFS,2019-0D2-000069,20190104,BARNSTABLE,35A,F,57,M,W,ITAL
MSP - DFS,2019-0D2-000069,20190104,BARNSTABLE,90D,M,57,M,W,ITAL
MSP - DFS,2019-0D2-000069,20190104,BARNSTABLE,MV,M,57,M,W,ITAL
MSP - DFS,2019-0D2-000069,20190104,BARNSTABLE,MV,M,57,M,W,ITAL
MSP - DFS,2019-0D2-000069,20190104,BARNSTABLE,MV,M,57,M,W,ITAL
MSP - DFS,2019-0C6-000133,20190105,BOYLSTON,90Z,W,25,M,H,MM
MSP - DFS,2019-0H7-000093,20190105,BOSTON,90D,M,27,M,B,HT
MSP - DFS,2019-0H7-000093,20190105,BOSTON,MV,M,27,M,B,HT
MSP - DFS,2019-0H7-000093,20190105,BOSTON,MV,M,27,M,B,HT
MSP - DFS,2019-0H7-000093,20190105,BOSTON,MV,M,27,M,B,HT
MSP - DFS,2019-0B6-000226,20190105,HOLYOKE,35A,F,27,F,W,G
MSP - DFS,2019-0B6-000226,20190105,HOLYOKE,90Z,W,27,F,W,G
MSP - DFS,2019-0C4-000084,20190105,BOXBOROUGH,90Z,W,29,M,H,PR
MSP - DFS,2019-0C4-000085,20190105,FITCHBURG,90D,M,32,M,W,IRE
MSP - DFS,2019-0C4-000085,20190105,FITCHBURG,MV,M,32,M,W,IRE
MSP - DFS,2019-0F1-000665,20190105,BOSTON,100,F,38,M,H,PR
MSP - DFS,2019-0F1-000665,20190105,BOSTON,100,M,38,M,H,PR
MSP - DFS,2019-0F1-000665,20190105,BOSTON,13A,F,38,M,H,PR
MSP - DFS,2019-0F1-000665,20190105,BOSTON,13A,F,38,M,H,PR
MSP - DFS,2019-0H2-000124,20190105,NEWTON,90Z,W,38,M,H,BRA
MSP - DFS,2019-0H2-000123,20190105,NEEDHAM,MV,M,38,M,H,DR
MSP - DFS,2019-0F1-000665,20190105,BOSTON,MV,M,38,M,H,PR
MSP - DFS,2019-0H2-000124,20190105,NEWTON,MV,M,38,M,H,BRA
MSP - DFS,2019-0H2-000123,20190105,NEEDHAM,MV,M,38,M,H,DR
MSP - DFS,2019-0H2-000124,20190105,NEWTON,MV,M,38,M,H,BRA
MSP - DFS,2019-0H6-000119,20190105,QUINCY,90D,M,53,M,J,IQ
MSP - DFS,2019-0H6-000119,20190105,QUINCY,90D,M,53,M,J,IQ
MSP - DFS,2019-0H6-000119,20190105,QUINCY,MV,M,53,M,J,IQ
MSP - DFS,2019-0H6-000119,20190105,QUINCY,MV,M,53,M,J,IQ
MSP - DFS,2019-0H6-000119,20190105,QUINCY,MV,M,53,M,J,IQ
MSP - DFS,2019-0H6-000119,20190105,QUINCY,MV,M,53,M,J,IQ
MSP - DFS,2019-0B3-000103,20190106,SPRINGFIELD,90D,M,27,M,H,DR
MSP - DFS,2019-0B3-000103,20190106,SPRINGFIELD,MV,M,27,M,H,DR
MSP - DFS,2019-0A4-000125,20190106,STONEHAM,MV,M,27,M,H,PR
MSP - DFS,2019-0B3-000103,20190106,SPRINGFIELD,MV,M,27,M,H,DR
MSP - DFS,2019-0A4-000125,20190106,STONEHAM,MV,M,27,M,H,PR
MSP - DFS,2019-0D2-000141,20190106,BARNSTABLE,90D,M,33,M,W,FR
MSP - DFS,2019-0D2-000141,20190106,BARNSTABLE,MV,M,33,M,W,FR
MSP - DFS,2019-0D2-000141,20190106,BARNSTABLE,MV,M,33,M,W,FR
MSP - DFS,2019-0D2-000141,20190106,BARNSTABLE,MV,M,33,M,W,FR
MSP - DFS,2019-0H9-000132,20190106,BOSTON,90D,M,36,M,H,DR
MSP - DFS,2019-0H9-000132,20190106,BOSTON,MV,M,36,M,H,DR
MSP - DFS,2019-0H9-000132,20190106,BOSTON,MV,M,36,M,H,DR
MSP - DFS,2019-0H4-000086,20190106,BOSTON,90Z,W,37,M,H,MM
MSP - DFS,2019-0F1-000899,20190106,BOSTON,90Z,,44,M,W,CAN
MSP - DFS,2019-0B3-000110,20190106,SPRINGFIELD,90Z,W,49,M,H,PR
MSP - DFS,2019-0B3-000110,20190106,SPRINGFIELD,MV,M,49,M,H,PR
MSP - DFS,2019-0B3-000110,20190106,SPRINGFIELD,MV,M,49,M,H,PR
MSP - DFS,2019-0B3-000110,20190106,SPRINGFIELD,MV,M,49,M,H,PR
MSP - DFS,2019-0H7-000119,20190107,BOSTON,MV,M,35,M,W,PR
MSP - DFS,2019-0H7-000119,20190107,BOSTON,MV,M,35,M,W,PR
MSP - DFS,2019-0H9-000176,20190107,BOSTON,90Z,W,37,F,H,DR
MSP - DFS,2019-0H9-000176,20190107,BOSTON,90Z,W,37,F,H,DR
MSP - DFS,2019-0H9-000176,20190107,BOSTON,MV,M,37,F,H,DR
MSP - DFS,2019-0H9-000176,20190107,BOSTON,MV,M,37,F,H,DR
MSP - DFS,2019-0H9-000176,20190107,BOSTON,MV,M,37,F,H,DR
MSP - DFS,2019-0H4-000105,20190107,BOSTON,90Z,W,40,M,H,HB
MSP - DFS,2019-0D3-000194,20190107,NEW BEDFORD,35A,F,40,M,W,U
MSP - DFS,2019-0D3-000194,20190107,NEW BEDFORD,MV,M,40,M,W,U
MSP - DFS,2019-0D3-000194,20190107,NEW BEDFORD,MV,M,40,M,W,U
MSP - DFS,2019-0D3-000194,20190107,NEW BEDFORD,MV,M,40,M,W,U
MSP - DFS,2019-0C4-000114,20190108,FITCHBURG,90Z,W,22,M,H,PR
MSP - DFS,2019-0C4-000114,20190108,FITCHBURG,90Z,W,22,M,H,PR
MSP - DFS,2019-0A4-000197,20190108,EVERETT,MV,M,24,M,H,HB
MSP - DFS,2019-0A4-000197,20190108,EVERETT,MV,O,24,M,H,HB
MSP - DFS,2019-0H6-000191,20190108,BOSTON,90Z,W,30,M,H,PR
MSP - DFS,2019-0H9-000189,20190108,BOSTON,90Z,W,32,F,W,BRA
MSP - DFS,2019-0H6-000181,20190108,MILTON,90D,M,33,M,W,IRE
MSP - DFS,2019-0H6-000181,20190108,MILTON,90D,M,33,M,W,IRE
MSP - DFS,2019-0H6-000181,20190108,MILTON,90Z,W,33,M,W,IRE
MSP - DFS,2019-0H6-000181,20190108,MILTON,90Z,W,33,M,W,IRE
MSP - DFS,2019-0D2-000167,20190108,BARNSTABLE,90Z,W,33,M,W,IRE
MSP - DFS,2019-0H6-000181,20190108,MILTON,MV,M,33,M,W,IRE
MSP - DFS,2019-0H6-000181,20190108,MILTON,MV,M,33,M,W,IRE
MSP - DFS,2019-0H6-000181,20190108,MILTON,MV,M,33,M,W,IRE
MSP - DFS,2019-0H6-000181,20190108,MILTON,MV,M,33,M,W,IRE
MSP - DFS,2019-0A1-000282,20190108,HAVERHILL,90D,M,40,M,H,HB
MSP - DFS,2019-0A1-000282,20190108,HAVERHILL,MV,M,40,M,H,HB
MSP - DFS,2019-0A1-000282,20190108,HAVERHILL,MV,M,40,M,H,HB
MSP - DFS,2019-0A1-000282,20190108,HAVERHILL,MV,M,40,M,H,HB
MSP - DFS,2019-0H6-000194,20190108,QUINCY,90Z,W,43,M,O,CN
MSP - DFS,2019-0C6-000220,20190108,WORCESTER,90D,M,43,M,H,BRA
MSP - DFS,2019-0C6-000220,20190108,WORCESTER,90G,M,43,M,H,BRA
MSP - DFS,2019-0C6-000220,20190108,WORCESTER,MV,M,43,M,H,BRA
MSP - DFS,2019-0C6-000220,20190108,WORCESTER,MV,M,43,M,H,BRA
MSP - DFS,2019-0C6-000220,20190108,WORCESTER,MV,M,43,M,H,BRA
MSP - DFS,2019-0C6-000220,20190108,WORCESTER,MV,M,43,M,H,BRA
MSP - DFS,2019-0H2-000241,20190109,NEEDHAM,MV,M,29,M,H,BRA
MSP - DFS,2019-0H3-000206,20190109,MANSFIELD,250,M,31,M,H,PR
MSP - DFS,2019-0H3-000206,20190109,MANSFIELD,250,M,31,M,H,PR
MSP - DFS,2019-0H3-000206,20190109,MANSFIELD,26A,M,31,M,H,PR
MSP - DFS,2019-0H3-000206,20190109,MANSFIELD,26A,M,31,M,H,PR
MSP - DFS,2019-0H3-000206,20190109,MANSFIELD,MV,M,31,M,H,PR
MSP - DFS,2019-0H3-000206,20190109,MANSFIELD,MV,M,31,M,H,PR
MSP - DFS,2019-0H3-000206,20190109,MANSFIELD,MV,O,31,M,H,PR
MSP - DFS,2019-0H2-000241,20190109,NEEDHAM,MV,M,32,M,H,BRA
MSP - DFS,2019-0C6-000258,20190109,NORTHBOROUGH,13A,F,43,M,H,PR
MSP - DFS,2019-0B3-000159,20190109,CHICOPEE,90Z,M,44,M,B,U
MSP - DFS,2019-0B3-000159,20190109,CHICOPEE,90Z,F,44,M,B,U
MSP - DFS,2019-0B3-000159,20190109,CHICOPEE,90Z,M,44,M,B,U
MSP - DFS,2019-0D2-000203,20190109,YARMOUTH,MV,M,45,U,H,BRA
MSP - DFS,2019-0D2-000203,20190109,YARMOUTH,MV,M,45,U,H,BRA
MSP - DFS,2019-0H6-000212,20190109,BOSTON,90Z,W,60,M,B,HT
MSP - DFS,2019-0H7-000206,20190110,MILTON,90Z,W,25,M,B,HT
MSP - DFS,2019-0H7-000206,20190110,MILTON,MV,M,25,M,B,HT
MSP - DFS,2019-0C4-000144,20190110,FITCHBURG,90D,M,25,M,W,PR
MSP - DFS,2019-0C4-000144,20190110,FITCHBURG,MV,M,25,M,W,PR
MSP - DFS,2019-0B3-000184,20190110,SPRINGFIELD,90Z,W,31,M,H,PR
MSP - DFS,2019-0C2-000271,20190111,MILFORD,90D,M,25,M,H,U
MSP - DFS,2019-0C2-000271,20190111,MILFORD,MV,M,25,M,H,U
MSP - DFS,2019-0C2-000271,20190111,MILFORD,MV,M,25,M,H,U
MSP - DFS,2019-0D4-000217,20190111,RAYNHAM,90Z,W,28,M,B,HT
MSP - DFS,2019-0B3-000209,20190111,SPRINGFIELD,90Z,W,30,M,B,JM
MSP - DFS,2019-0B3-000209,20190111,SPRINGFIELD,MV,M,30,M,B,JM
MSP - DFS,2019-0D5-000022,20190111,TISBURY,MV,M,33,M,W,BRA
MSP - DFS,2019-0D5-000022,20190111,TISBURY,MV,M,33,M,W,BRA
MSP - DFS,2019-0B3-000239,20190112,SPRINGFIELD,35A,F,30,M,H,PR
MSP - DFS,2019-0B3-000239,20190112,SPRINGFIELD,MV,M,30,M,H,PR
MSP - DFS,2019-0B3-000239,20190112,SPRINGFIELD,MV,M,30,M,H,PR
MSP - DFS,2019-0B3-000239,20190112,SPRINGFIELD,MV,M,30,M,H,PR
MSP - DFS,2019-0C6-000328,20190112,STERLING,90Z,W,40,M,H,PR
MSP - DFS,2019-0C6-000328,20190112,STERLING,90Z,W,40,M,H,PR
MSP - DFS,2019-0A1-000543,20190112,ANDOVER,90Z,W,40,M,H,DR
MSP - DFS,2019-0C6-000328,20190112,STERLING,MV,M,40,M,H,PR
MSP - DFS,2019-0C6-000328,20190112,STERLING,MV,M,40,M,H,PR
MSP - DFS,2019-0C4-000190,20190112,LEOMINSTER,90Z,W,44,M,H,PR
MSP - DFS,2019-0H3-000328,20190113,CANTON,MV,M,27,M,W,SX
MSP - DFS,2019-0CX-000279,20190113,WESTBOROUGH,MV,M,36,U,H,BRA
MSP - DFS,2019-0CX-000279,20190113,WESTBOROUGH,MV,M,36,U,H,BRA
MSP - DFS,2019-0CX-000279,20190113,WESTBOROUGH,MV,M,36,U,H,BRA
MSP - DFS,2019-0H6-000337,20190113,QUINCY,90D,M,47,M,W,ITAL
MSP - DFS,2019-0H6-000337,20190113,QUINCY,MV,M,47,M,W,ITAL
MSP - DFS,2019-0H6-000337,20190113,QUINCY,MV,M,47,M,W,ITAL
MSP - DFS,2019-0C6-000377,20190114,WORCESTER,280,F,17,F,U,PR
MSP - DFS,2019-0C6-000377,20190114,WORCESTER,520,F,17,F,U,PR
MSP - DFS,2019-0C6-000377,20190114,WORCESTER,520,F,17,F,U,PR
MSP - DFS,2019-0C6-000377,20190114,WORCESTER,520,F,17,F,U,PR
MSP - DFS,2019-0C6-000377,20190114,WORCESTER,520,F,17,F,U,PR
MSP - DFS,2019-0C6-000377,20190114,WORCESTER,280,F,18,U,H,BRA
MSP - DFS,2019-0C6-000377,20190114,WORCESTER,520,F,18,U,H,BRA
MSP - DFS,2019-0C6-000377,20190114,WORCESTER,520,F,18,U,H,BRA
MSP - DFS,2019-0C6-000377,20190114,WORCESTER,520,F,18,U,H,BRA
MSP - DFS,2019-0C6-000377,20190114,WORCESTER,520,F,18,U,H,BRA
MSP - DFS,2019-0C6-000377,20190114,WORCESTER,MV,M,18,U,H,BRA
MSP - DFS,2019-0H7-000282,20190114,MILTON,35A,F,21,M,H,DR
MSP - DFS,2019-0H7-000282,20190114,MILTON,90Z,F,21,M,H,DR
MSP - DFS,2019-0H7-000282,20190114,MILTON,MV,M,21,M,H,DR
MSP - DFS,2019-0H7-000282,20190114,MILTON,MV,M,21,M,H,DR
MSP - DFS,2019-0C6-000350,20190114,AUBURN,90Z,M,29,M,H,DR
MSP - DFS,2019-0C6-000350,20190114,AUBURN,MV,M,29,M,H,DR
MSP - DFS,2019-0C6-000350,20190114,AUBURN,MV,M,29,M,H,DR
MSP - DFS,2019-0C6-000350,20190114,AUBURN,MV,M,29,M,H,DR
MSP - DFS,2019-0C6-000350,20190114,AUBURN,MV,O,29,M,H,DR
MSP - DFS,2019-0H7-000282,20190114,MILTON,26A,M,32,M,H,DR
MSP - DFS,2019-0H7-000282,20190114,MILTON,"280,26A",M,32,M,H,DR
MSP - DFS,2019-0H7-000282,20190114,MILTON,35A,F,32,M,H,DR
MSP - DFS,2019-0H7-000282,20190114,MILTON,90Z,W,32,M,H,DR
MSP - DFS,2019-0H7-000282,20190114,MILTON,90Z,F,32,M,H,DR
MSP - DFS,2019-0B8-000217,20190114,WESTFIELD,MV,M,34,M,H,PR
MSP - DFS,2019-0B8-000217,20190114,WESTFIELD,MV,M,34,M,H,PR
MSP - DFS,2019-0B3-000281,20190114,CHICOPEE,90D,M,35,M,H,PR
MSP - DFS,2019-0B3-000281,20190114,CHICOPEE,MV,M,35,M,H,PR
MSP - DFS,2019-0B3-000281,20190114,CHICOPEE,MV,M,35,M,H,PR
MSP - DFS,2019-0A4-000345,20190114,MEDFORD,MV,M,38,M,B,HT
MSP - DFS,2019-0A4-000345,20190114,MEDFORD,MV,M,38,M,B,HT
MSP - DFS,2019-0A4-000345,20190114,MEDFORD,MV,M,38,M,B,HT
MSP - DFS,2019-0D2-000278,20190114,BARNSTABLE,90D,M,49,M,W,IRE
MSP - DFS,2019-0C4-000225,20190114,LEOMINSTER,MV,M,49,M,W,PR
MSP - DFS,2019-0D2-000278,20190114,BARNSTABLE,MV,M,49,M,W,IRE
MSP - DFS,2019-0C4-000225,20190114,LEOMINSTER,MV,M,49,M,W,PR
MSP - DFS,2019-0C4-000225,20190114,LEOMINSTER,MV,M,49,M,W,PR
MSP - DFS,2019-0D2-000278,20190114,BARNSTABLE,MV,M,49,M,W,IRE
MSP - DFS,2019-0D2-000278,20190114,BARNSTABLE,MV,M,49,M,W,IRE
MSP - DFS,2019-0D4-000287,20190114,WEST BRIDGEWATER,MV,M,50,M,W,U
MSP - DFS,2019-0D4-000287,20190114,WEST BRIDGEWATER,MV,M,50,M,W,U
MSP - DFS,2019-0D4-000287,20190114,WEST BRIDGEWATER,MV,M,50,M,W,U
MSP - DFS,2019-0D4-000287,20190114,WEST BRIDGEWATER,MV,M,50,M,W,U
MSP - DFS,2019-0A1-000701,20190115,LAWRENCE,35A,F,21,F,H,DR
MSP - DFS,2019-0A1-000701,20190115,LAWRENCE,35A,F,21,F,H,DR
MSP - DFS,2019-0A1-000701,20190115,LAWRENCE,35A,F,21,F,H,DR
MSP - DFS,2019-0A1-000701,20190115,LAWRENCE,35A,F,21,F,H,DR
MSP - DFS,2019-0A1-000701,20190115,LAWRENCE,35A,F,21,F,H,DR
MSP - DFS,2019-0A1-000701,20190115,LAWRENCE,35A,F,21,F,H,DR
MSP - DFS,2019-0A1-000701,20190115,LAWRENCE,90Z,F,21,F,H,DR
MSP - DFS,2019-0A1-000687,20190115,LAWRENCE,90G,M,23,M,B,HT
MSP - DFS,2019-0A1-000687,20190115,LAWRENCE,MV,M,23,M,B,HT
MSP - DFS,2019-0A1-000687,20190115,LAWRENCE,MV,M,23,M,B,HT
MSP - DFS,2019-0A1-000687,20190115,LAWRENCE,MV,M,23,M,B,HT
MSP - DFS,2019-0A1-000687,20190115,LAWRENCE,MV,M,23,M,B,HT
MSP - DFS,2019-0A1-000687,20190115,LAWRENCE,MV,M,23,M,B,HT
MSP - DFS,2019-0A1-000687,20190115,LAWRENCE,MV,M,23,M,B,HT
MSP - DFS,2019-0A1-000701,20190115,LAWRENCE,26A,M,25,M,H,DR
MSP - DFS,2019-0A1-000701,20190115,LAWRENCE,35A,F,25,M,H,DR
MSP - DFS,2019-0A4-000359,20190115,MEDFORD,90D,M,25,M,H,BRA
MSP - DFS,2019-0A1-000701,20190115,LAWRENCE,90Z,F,25,M,H,DR
MSP - DFS,2019-0A4-000359,20190115,MEDFORD,MV,M,25,M,H,BRA
MSP - DFS,2019-0A1-000701,20190115,LAWRENCE,35A,F,28,M,H,DR
MSP - DFS,2019-0A1-000701,20190115,LAWRENCE,90Z,F,28,M,H,DR
MSP - DFS,2019-0B3-000289,20190115,CHICOPEE,90Z,W,40,F,H,PR
MSP - DFS,2019-0B3-000289,20190115,CHICOPEE,MV,M,40,F,H,PR
MSP - DFS,2019-0D1-000217,20190115,MARSHFIELD,MV,M,49,M,H,BRA
MSP - DFS,2019-0D1-000217,20190115,MARSHFIELD,MV,M,49,M,H,BRA
MSP - DFS,2019-0B3-000296,20190115,SPRINGFIELD,90Z,W,70,M,W,ITAL
MSP - DFS,2019-0A6-000429,20190116,PEABODY,90Z,W,29,M,W,U
MSP - DFS,2019-0A6-000429,20190116,PEABODY,90Z,W,29,M,W,U
MSP - DFS,2019-0C2-000441,20190116,DOUGLAS,90Z,W,34,M,H,PR
MSP - DFS,2019-0C2-000441,20190116,DOUGLAS,90Z,W,34,M,H,PR
MSP - DFS,2019-0C2-000441,20190116,DOUGLAS,90Z,W,34,M,H,PR
MSP - DFS,2019-0C6-000405,20190116,WORCESTER,520,F,39,M,H,PR
MSP - DFS,2019-0C6-000405,20190116,WORCESTER,MV,M,39,M,H,PR
MSP - DFS,2019-0C6-000405,20190116,WORCESTER,MV,M,39,M,H,PR
MSP - DFS,2019-0C6-000405,20190116,WORCESTER,MV,M,39,M,H,PR
MSP - DFS,2019-0C6-000405,20190116,WORCESTER,MV,M,39,M,H,PR
MSP - DFS,2019-0C6-000405,20190116,WORCESTER,MV,M,39,M,H,PR
MSP - DFS,2019-0F1-002399,20190116,BOSTON,90Z,M,42,M,U,BRA
MSP - DFS,2019-0CX-000429,20190117,PALMER,90D,M,22,M,W,G
MSP - DFS,2019-0CX-000429,20190117,PALMER,MV,M,22,M,W,G
MSP - DFS,2019-0CX-000429,20190117,PALMER,MV,M,22,M,W,G
MSP - DFS,2019-0CX-000429,20190117,PALMER,MV,M,22,M,W,G
MSP - DFS,2019-0CX-000429,20190117,PALMER,MV,M,22,M,W,G
MSP - DFS,2019-0CX-000429,20190117,PALMER,MV,M,22,M,W,G
MSP - DFS,2019-0CX-000429,20190117,PALMER,MV,M,22,M,W,G
MSP - DFS,2019-0H4-000270,20190117,BOSTON,90D,M,23,M,H,DR
MSP - DFS,2019-0H4-000270,20190117,BOSTON,MV,M,23,M,H,DR
MSP - DFS,2019-0A6-000471,20190117,LYNNFIELD,35A,F,38,M,W,ITAL
MSP - DFS,2019-0A6-000471,20190117,LYNNFIELD,35A,F,38,M,W,ITAL
MSP - DFS,2019-0A6-000471,20190117,LYNNFIELD,90D,M,38,M,W,ITAL
MSP - DFS,2019-0A6-000471,20190117,LYNNFIELD,MV,M,38,M,W,ITAL
MSP - DFS,2019-0A6-000471,20190117,LYNNFIELD,MV,M,38,M,W,ITAL
MSP - DFS,2019-0CX-000452,20190118,WESTBOROUGH,90Z,W,27,F,B,DR
MSP - DFS,2019-GES-000306,20190118,SPRINGFIELD,90Z,W,28,F,H,PR
MSP - DFS,2019-0D4-000386,20190118,BERKLEY,"520,35A",F,31,M,W,U
MSP - DFS,2019-0D4-000386,20190118,BERKLEY,90D,M,31,M,W,U
MSP - DFS,2019-0D4-000386,20190118,BERKLEY,MV,M,31,M,W,U
MSP - DFS,2019-0D4-000386,20190118,BERKLEY,MV,M,31,M,W,U
MSP - DFS,2019-0H7-000389,20190118,CANTON,26A,M,38,M,H,PR
MSP - DFS,2019-0H7-000389,20190118,CANTON,35A,F,38,M,H,PR
MSP - DFS,2019-0H7-000389,20190118,CANTON,MV,M,38,M,H,PR
MSP - DFS,2019-0H7-000389,20190118,CANTON,MV,M,38,M,H,PR
MSP - DFS,2019-0H7-000389,20190118,CANTON,MV,M,38,M,H,PR
MSP - DFS,2019-0H7-000389,20190118,CANTON,MV,M,38,M,H,PR
MSP - DFS,2019-0B4-000320,20190119,SAVOY,220-23F-23G-23H,F,18,M,W,U
MSP - DFS,2019-0B4-000320,20190119,SAVOY,280,M,21,M,W,U
MSP - DFS,2019-0B4-000320,20190119,SAVOY,290,F,21,M,W,U
MSP - DFS,2019-0B4-000320,20190119,SAVOY,220-23F-23G-23H,F,21,M,W,U
MSP - DFS,2019-0B4-000320,20190119,SAVOY,90J,M,21,M,W,U
MSP - DFS,2019-0A4-000478,20190119,MEDFORD,13A,F,23,M,W,BRA
MSP - DFS,2019-0A4-000478,20190119,MEDFORD,MV,M,23,M,W,BRA
MSP - DFS,2019-0A4-000478,20190119,MEDFORD,MV,M,23,M,W,BRA
MSP - DFS,2019-0A4-000478,20190119,MEDFORD,MV,M,23,M,W,BRA
MSP - DFS,2019-0A4-000478,20190119,MEDFORD,MV,M,23,M,W,BRA
MSP - DFS,2019-0D4-000403,20190119,RAYNHAM,90Z,W,25,M,B,HT
MSP - DFS,2019-0B3-000403,20190119,CHICOPEE,90Z,M,30,M,H,PR
MSP - DFS,2019-0H8-000367,20190119,NEWTON,90D,M,32,M,O,VM
MSP - DFS,2019-0H8-000367,20190119,NEWTON,MV,M,32,M,O,VM
MSP - DFS,2019-0H8-000367,20190119,NEWTON,MV,M,32,M,O,VM
MSP - DFS,2019-0H8-000367,20190119,NEWTON,MV,M,32,M,O,VM
MSP - DFS,2019-0D5-000031,20190119,OAK BLUFFS,250,M,38,M,W,BRA
MSP - DFS,2019-0D5-000031,20190119,OAK BLUFFS,250,M,38,M,W,BRA
MSP - DFS,2019-0D5-000031,20190119,OAK BLUFFS,90D,M,38,M,W,BRA
MSP - DFS,2019-0D5-000031,20190119,OAK BLUFFS,90Z,W,38,M,W,BRA
MSP - DFS,2019-0D5-000031,20190119,OAK BLUFFS,MV,M,38,M,W,BRA
MSP - DFS,2019-0D5-000031,20190119,OAK BLUFFS,MV,M,38,M,W,BRA
MSP - DFS,2019-0D5-000031,20190119,OAK BLUFFS,MV,M,38,M,W,BRA
MSP - DFS,2019-0D5-000031,20190119,OAK BLUFFS,MV,M,38,M,W,BRA
